year,source,net_generation
1/1/01,Renewables,1437
1/1/02,Renewables,1963
1/1/03,Renewables,1885
1/1/04,Renewables,2102
1/1/05,Renewables,2724
1/1/06,Renewables,3364
1/1/07,Renewables,3870
1/1/08,Renewables,5070
1/1/09,Renewables,8560
1/1/10,Renewables,10308
1/1/11,Renewables,11795
1/1/12,Renewables,14949
1/1/13,Renewables,16476
1/1/14,Renewables,17452
1/1/15,Renewables,19091
1/1/16,Renewables,21241
1/1/17,Renewables,21933
